Size;Time[ns]
1;9445
101;763
201;795
301;801
401;829
501;851
601;868
701;897
801;941
901;973
1001;1028
1101;1473
1201;1076
1301;1095
1401;1115
1501;1226
1601;1190
1701;1275
1801;1317
1901;1310
2001;1349
2101;1351
2201;1471
2301;1413
2401;1446
2501;1477
2601;1505
2701;1574
2801;1587
2901;1584
3001;1666
101;795
10201;2716
20301;4428
30401;6340
40501;8561
50601;10514
60701;12731
70801;17076
80901;21167
91001;19542
101101;21985
111201;23941
121301;26645
131401;28771
141501;29816
151601;31551
161701;42176
171801;44807
181901;51127
192001;45080
202101;45485
212201;55380
222301;45834
232401;53235
242501;50939
252601;53345
262701;239612
272801;242682
282901;250835
293001;255652
303101;307107
201;835
20301;4598
40401;8043
60501;12464
80601;18496
100701;24931
120801;29358
140901;33263
161001;34483
181101;39796
201201;44144
221301;50989
241401;51152
261501;236720
281601;249954
301701;269569
321801;281642
341901;349684
362001;326795
382101;339399
402201;364685
422301;406436
442401;468812
462501;436717
482601;422828
502701;475660
522801;502682
542901;474154
563001;507986
583101;559928
603201;521462
301;920
30401;6785
60501;12317
90601;19290
120701;25934
150801;32491
180901;40364
211001;44565
241101;50972
271201;238017
301301;336823
331401;310077
361501;321660
391601;369935
421701;423119
451801;463858
481901;428404
512001;438398
542101;510476
572201;556287
602301;520043
632401;637968
662501;593838
692601;609574
722701;697417
752801;670029
782901;710451
813001;738132
843101;703603
873201;786582
903301;759371
401;1047
40501;8848
80601;17898
120701;26632
160801;35463
200901;56077
241001;65094
281101;268982
321201;299402
361301;313060
401401;362600
441501;427412
481601;448549
521701;457452
561801;491090
601901;551599
642001;573516
682101;586395
722201;664737
762301;641789
802401;706790
842501;716069
882601;750354
922701;850792
962801;813957
1002901;897925
1043001;853336
1083101;931250
1123201;976244
1163301;983842
1203401;1069306
501;824
50601;11030
100701;21665
150801;31942
200901;43461
251001;54427
301101;275250
351201;304843
401301;370914
451401;443162
501501;435139
551601;475267
601701;549835
651801;579763
701901;607633
752001;688134
802101;718670
852201;776338
902301;789816
952401;878330
1002501;920156
1052601;948771
1102701;1031388
1152801;1090256
1202901;1142349
1253001;1147542
1303101;1189946
1353201;1230776
1403301;1309182
1453401;1313903
1503501;1360180
601;959
60701;12571
120801;28393
180901;39092
241001;53613
301101;303382
361201;361702
421301;382937
481401;434806
541501;470225
601601;614848
661701;606478
721801;711625
781901;708676
842001;740951
902101;866634
962201;994316
1022301;978329
1082401;1102655
1142501;994359
1202601;1078434
1262701;1216520
1322801;1138750
1382901;1300960
1443001;1291305
1503101;1321672
1563201;1398190
1623301;1495037
1683401;1529067
1743501;1524474
1803601;1577548
701;936
70801;15711
140901;36616
211001;44671
281101;277749
351201;349684
421301;427647
491401;468501
561501;561416
631601;570738
701701;626211
771801;748510
841901;777479
912001;853703
982101;878348
1052201;950281
1122301;970739
1192401;1059372
1262501;1120296
1332601;1296714
1402701;1259418
1472801;1276850
1542901;1427139
1613001;1446076
1683101;1616209
1753201;1749290
1823301;1558123
1893401;1643000
1963501;1760613
2033601;1825745
2103701;1991131
801;929
80901;17499
161001;35138
241101;51453
321201;277751
401301;361149
481401;452489
561501;517984
641601;611864
721701;675593
801801;756500
881901;807422
962001;938850
1042101;1053071
1122201;997044
1202301;1192767
1282401;1204127
1362501;1188387
1442601;1403324
1522701;1331561
1602801;1416446
1682901;1506326
1763001;1624018
1843101;1662074
1923201;1657416
2003301;1716359
2083401;1847995
2163501;1934522
2243601;1992553
2323701;2242638
2403801;2250571
901;1053
91001;24555
181101;41808
271201;265796
361301;334306
451401;507084
541501;584561
631601;568906
721701;668672
811801;714096
901901;892344
992001;962261
1082101;1027075
1172201;1094500
1262301;1187515
1352401;1255598
1442501;1317709
1532601;1428795
1622701;1439104
1712801;1576711
1802901;1638383
1893001;1710612
1983101;1783553
2073201;1897458
2163301;2025449
2253401;2028372
2343501;2198561
2433601;2124591
2523701;2257112
2613801;2257578
2703901;2298774
1001;1311
101101;33464
201201;70186
301301;336177
401401;422254
501501;495630
601601;631540
701701;716634
801801;736845
901901;863076
1002001;1107548
1102101;1233558
1202201;1356670
1302301;1338874
1402401;1443256
1502501;1554559
1602601;1679251
1702701;1802662
1802801;1709449
1902901;1940443
2003001;2104267
2103101;2127275
2203201;2180185
2303301;2295208
2403401;2731469
2503501;2549231
2603601;2350715
2703701;2401809
2803801;2571103
2903901;2509063
3004001;2568233
1101;1087
111201;24589
221301;63862
331401;303918
441501;404931
551601;470570
661701;630237
771801;683889
881901;834952
992001;864548
1102101;975519
1212201;1077540
1322301;1199814
1432401;1354789
1542501;1643762
1652601;1602705
1762701;1690962
1872801;1732492
1982901;1736981
2093001;1855523
2203101;1937610
2313201;2050968
2423301;2188295
2533401;2152425
2643501;2296993
2753601;2466106
2863701;2536830
2973801;2645893
3083901;2625287
3194001;3529806
3304101;3562762
1201;4559
121301;50315
241401;87126
361501;464474
481601;565148
601701;685100
721801;785435
841901;853463
962001;930288
1082101;1010600
1202201;1118982
1322301;1263709
1442401;1366542
1562501;1406504
1682601;1454827
1802701;1539640
1922801;1750922
2042901;1865170
2163001;1893764
2283101;1988775
2403201;2270192
2523301;2288837
2643401;2303062
2763501;2479065
2883601;2814346
3003701;2660797
3123801;2886764
3243901;3033590
3364001;3309255
3484101;3391887
3604201;3209765
1301;1224
131401;30900
261501;249624
391601;404477
521701;494982
651801;698542
781901;760607
912001;1026963
1042101;1086446
1172201;1262404
1302301;1430198
1432401;1472980
1562501;1568828
1692601;1707427
1822701;3858815
1952801;1929091
2082901;2530200
2213001;2428100
2343101;2363779
2473201;2431195
2603301;2658440
2733401;2672235
2863501;2713565
2993601;2683221
3123701;2886622
3253801;2985089
3383901;2942989
3514001;3321156
3644101;3522196
3774201;3604439
3904301;3469359
1401;1221
141501;35619
281601;268806
421701;420722
561801;514579
701901;725894
842001;857821
982101;967208
1122201;1184655
1262301;1279508
1402401;1400934
1542501;1686239
1682601;2083650
1822701;4276286
1962801;2075036
2102901;2035683
2243001;1967513
2383101;2081458
2523201;2258200
2663301;2364659
2803401;2492158
2943501;2566119
3083601;2603596
3223701;2667561
3363801;2720007
3503901;3013684
3644001;2979662
3784101;3004841
3924201;3238122
4064301;3195061
4204401;3484967
1501;1264
151601;43896
301701;320310
451801;423177
601901;542265
752001;706796
902101;813893
1052201;946265
1202301;1045088
1352401;1205837
1502501;1331780
1652601;1408623
1802701;1558147
1952801;1676679
2102901;1774412
2253001;1948084
2403101;2045446
2553201;2119513
2703301;2240673
2853401;2445750
3003501;2513996
3153601;2741070
3303701;2972162
3453801;3038257
3603901;3163451
3754001;3227678
3904101;3306563
4054201;3681001
4204301;3884171
4354401;3918284
4504501;4296069
1601;2684
161701;43569
321801;344910
481901;506163
642001;679144
802101;791748
962201;958653
1122301;1097520
1282401;1196515
1442501;1347263
1602601;1490202
1762701;1678034
1922801;1865761
2082901;1998464
2243001;2185131
2403101;2369992
2563201;2423708
2723301;2527056
2883401;2581012
3043501;2750766
3203601;3014012
3363701;3247253
3523801;4240591
3683901;3932188
3844001;3477566
4004101;3473630
4164201;3445784
4324301;4134776
4484401;3656596
4644501;3737252
4804601;3744406
1701;1314
171801;41177
341901;322193
512001;457575
682101;670993
852201;738427
1022301;912114
1192401;1059100
1362501;1222384
1532601;1343191
1702701;1529820
1872801;1650741
2042901;1819866
2213001;1914025
2383101;2015362
2553201;2187729
2723301;2345405
2893401;2418111
3063501;2590506
3233601;2775633
3403701;2930159
3573801;3069937
3743901;3390361
3914001;3289323
4084101;3562485
4254201;4792161
4424301;4160629
4594401;3866107
4764501;4074684
4934601;4119843
5104701;4264899
1801;1358
181901;41740
362001;353736
542101;523825
722201;640565
902301;844231
1082401;941002
1262501;1141015
1442601;1283794
1622701;1421234
1802801;1567260
1982901;1721726
2163001;1898829
2343101;2035178
2523201;2121401
2703301;2328551
2883401;2460642
3063501;2586720
3243601;2830424
3423701;3087387
3603801;3478797
3783901;3582500
3964001;3753967
4144101;3539788
4324201;3786315
4504301;3923942
4684401;4129144
4864501;4375721
5044601;4725710
5224701;4479562
5404801;4547946
1901;1383
192001;44308
382101;368229
572201;593338
762301;766490
952401;1004444
1142501;1171874
1332601;1253873
1522701;1402785
1712801;1926382
1902901;2100505
2093001;2133374
2283101;2940403
2473201;3072140
2663301;2750463
2853401;3080057
3043501;3189571
3233601;3534225
3423701;3785666
3613801;3725116
