;1;101;201;301;401;501;601;701;801;901;1001;1101;1201;1301;1401;1501;1601;1701;1801;1901;2001;2101;2201;2301;2401;2501;2601;2701;2801;2901;3001
1;9185;803;797;822;898;860;931;919;974;1304;1225;1268;1149;1095;1110;1145;1381;1263;1326;1313;1316;1361;1445;1417;1502;1526;1597;1653;1557;1577;1631
101;818;2684;4405;11084;8380;10680;13318;17896;16987;19301;21106;23126;27394;29228;29163;31866;35602;35891;37865;40800;42512;47942;58841;63186;52152;65890;243631;248257;261321;257870;265255
201;1113;4081;7975;12272;17427;23543;25957;30488;34293;49373;50531;64445;58975;242026;256394;270799;286772;297389;387339;344138;370740;369620;437357;414659;427786;433957;502729;499353;491731;565751;552443
301;957;10649;12312;19895;29463;43944;39039;48428;56650;246507;275409;344613;364206;352903;407670;442230;435356;445355;467355;543682;530856;548720;624965;591568;611865;676219;651773;781421;732007;811966;822897
401;982;8931;19123;28539;38398;46942;61444;268469;342139;350318;359799;393281;473354;450830;475721;530012;592737;577396;665507;672276;680598;755301;733993;831606;814052;888349;859376;949297;951475;1029027;1076232
501;828;10121;22445;33795;43550;54651;272883;313820;356121;458014;442460;476071;556268;589475;588373;680580;673354;698507;825445;801562;892387;871171;956683;1011110;1041524;1109869;1128040;1177206;1229069;1279347;1275024
601;937;17276;32504;39099;64745;291511;329169;376840;415616;510720;524894;582698;665483;645956;750698;793599;848350;892482;972355;964635;1084256;1100358;1170194;1320162;1356062;1307554;1316182;1440238;1457043;1503324;1560983
701;926;15533;30124;44922;247735;311424;413010;456165;481327;554555;639658;647790;740492;773531;893828;874757;984539;1053922;1136913;1170935;1180128;1282916;1355590;1400549;1475036;1538994;1562520;1626879;1645311;1785037;1827923
801;1013;18793;35957;53162;283735;357647;422407;520647;572855;607086;724623;739204;870248;861195;997847;1051657;1119812;1212305;1243101;1293144;1402942;1475932;1517675;1587340;1641208;1670864;1789548;1818025;1867980;1916384;1993119
901;1348;19752;48617;282042;334451;400234;456021;604660;608368;698379;790587;833841;917307;1051988;1078729;1251128;1313645;1337648;1353637;1470222;1554080;1586820;1683038;1744356;1803450;1924083;1985648;2008852;2066376;2159903;2286192
1001;994;21368;61352;265763;357670;439232;587239;592077;704734;777283;871118;918536;1081013;1093495;1229838;1315134;1386261;1425906;1556059;1586140;1723282;1820745;1873431;1997562;1991946;2066436;2146916;2294582;2281428;2365006;2472285
