;1;101;201;301;401;501;601;701;801;901;1001;1101;1201;1301;1401;1501;1601;1701;1801;1901;2001;2101;2201;2301;2401;2501;2601;2701;2801;2901;3001
1;3223;1123;390;222;224;220;215;205;203;391;218;205;219;221;347;398;637;386;210;205;204;203;201;207;215;397;227;220;210;346;219
101;204;206;205;412;350;204;342;384;336;202;202;884;1095;471;219;213;394;210;221;220;201;203;205;346;209;206;204;218;214;418;389
201;202;203;204;207;203;221;220;217;346;204;202;206;206;206;395;219;218;388;342;222;525;219;217;336;204;203;204;224;203;207;206
301;210;272;396;220;203;202;207;203;210;224;217;563;215;348;204;242;221;211;201;203;200;384;220;209;223;232;203;202;201;387;355
401;222;215;211;207;218;217;205;199;205;202;200;202;201;384;219;220;213;211;207;203;202;214;202;199;206;207;220;214;201;211;345
501;217;222;216;211;218;217;202;203;200;200;204;202;205;204;203;199;198;201;204;201;202;204;539;225;284;217;206;205;381;221;214
601;213;205;207;201;204;203;202;205;200;205;198;200;223;202;202;204;201;202;201;200;202;200;204;198;207;203;203;204;204;206;205
701;204;203;204;204;200;202;203;209;204;202;204;207;202;206;201;205;201;203;203;204;201;205;202;200;201;202;201;202;206;206;201
801;204;205;206;201;204;201;203;202;203;205;201;203;203;205;204;203;201;205;363;216;254;220;330;369;202;204;202;200;203;200;202
901;203;205;202;204;202;203;200;207;199;203;205;200;200;199;206;206;202;202;204;205;202;199;203;204;204;204;201;206;203;205;200
1001;205;202;204;209;206;205;205;201;202;199;200;205;222;206;204;205;204;204;202;202;202;203;200;230;199;202;205;201;199;207;201
1101;201;205;204;204;204;202;205;201;202;204;203;206;199;205;203;201;204;217;369;249;211;200;206;203;205;204;200;207;226;201;206
1201;202;205;207;201;202;201;202;420;207;203;204;203;202;204;204;200;201;205;208;204;203;227;205;202;203;202;204;201;208;202;204
1301;204;202;204;199;202;201;210;201;200;201;204;202;208;208;207;212;209;212;208;206;210;212;206;206;388;221;210;222;207;216;208
1401;208;208;208;203;208;207;209;204;226;207;204;207;206;208;205;209;209;209;208;209;226;209;208;209;210;203;208;206;210;205;215
1501;211;226;218;260;212;207;205;207;209;208;211;215;211;218;212;214;216;213;214;210;207;211;214;214;218;212;212;207;208;216;209
1601;218;212;211;205;204;210;208;206;209;204;208;210;205;206;209;217;212;214;211;217;215;213;215;210;212;216;213;217;215;212;212
1701;220;218;213;217;210;215;210;207;210;204;430;229;205;208;209;206;205;206;207;204;205;209;214;211;206;211;209;205;214;211;214
1801;216;219;218;223;214;215;218;218;223;253;221;220;218;220;215;219;223;219;215;226;233;212;219;210;213;214;209;215;214;207;205
1901;208;205;213;207;211;211;207;206;207;206;215;214;216;213;210;213;212;215;221;225;212;219;212;207;217;216;215;216;213;217;217
2001;218;218;214;220;213;210;212;216;213;213;213;211;216;215;219;238;219;221;220;216;220;219;222;222;215;213;223;218;221;219;223
2101;219;225;219;215;222;266;241;214;214;213;215;214;222;219;215;214;207;210;207;219;223;214;212;209;208;209;213;212;234;209;210
2201;213;216;370;218;217;213;222;214;216;219;211;216;210;211;217;217;211;210;212;210;213;210;217;214;218;214;215;213;347;223;214
2301;390;282;217;221;217;226;213;221;218;223;216;220;219;218;218;221;220;219;222;210;215;390;247;213;393;214;212;212;210;220;217
2401;305;282;231;220;268;486;488;573;541;466;517;564;580;571;552;551;545;541;538;527;524;538;517;871;519;526;519;513;507;490;508
2501;517;529;570;504;475;526;521;518;523;530;518;542;575;559;547;556;555;534;531;547;531;421;449;470;504;512;515;502;531;527;527
2601;505;511;228;221;213;227;223;232;218;219;240;230;239;1900;336;210;223;220;220;224;217;220;220;217;221;220;218;222;217;224;214
2701;220;216;222;212;217;221;218;227;215;221;218;225;228;238;225;216;221;234;219;226;247;238;215;221;226;220;222;218;221;216;223
2801;222;218;221;219;220;214;211;220;215;215;218;216;224;219;215;240;216;217;218;218;217;218;219;221;214;221;222;219;218;214;217
2901;223;221;219;217;217;222;214;216;219;222;218;220;217;224;220;217;219;214;219;217;224;219;219;220;220;220;221;219;219;216;253
3001;214;216;219;217;217;218;223;223;221;219;219;221;215;211;225;217;221;214;218;214;214;218;238;218;220;220;216;216;217;221;219
