;1;101;201;301;401;501;601;701;801;901;1001;1101;1201;1301;1401;1501;1601;1701;1801;1901;2001;2101;2201;2301;2401;2501;2601;2701;2801;2901;3001
1;10967;1767;1766;1780;1793;1819;1827;1834;1849;1868;1909;1915;1959;2344;1996;2054;2032;2145;2317;2166;2092;2129;2222;2156;2384;2503;2346;2367;2267;2479;2450
101;78791;77743;97096;102048;104534;100448;96222;97996;108906;110852;124101;104752;108482;140437;111652;120847;126392;124781;120513;118411;124773;139229;152470;147137;141618;140764;168368;209879;149835;180218;187077
201;143835;167981;172241;193111;200747;226528;217788;222985;226624;235998;247033;230861;248429;642313;270269;241690;224642;259344;294657;254087;256944;279730;373978;372791;292742;293215;343315;345567;336770;383975;374835
301;284314;324330;296298;273818;436105;314226;310439;296639;633648;1113922;483593;368328;375359;349908;373082;472476;1913856;418622;535904;426925;496492;447433;435951;650776;643114;895910;646874;757113;666000;593691;808393
401;363699;354369;394223;345388;336018;414057;365222;398131;416974;428417;460236;598613;535022;459512;502272;583389;543600;641365;651817;697958;607072;730015;743779;747340;736418;797858;837343;990042;759306;863549;920335
501;407852;399253;438533;439095;555255;477286;471770;583082;506949;565815;539244;628262;535326;635191;614762;683755;673114;670342;788091;1031048;961284;965649;937159;1077384;921468;1025031;1039357;1197069;1137220;1107695;1162664
601;495846;448266;569735;493693;636932;543719;892242;785244;769678;832715;1602115;1171431;1127147;1092082;1069965;1277608;1001681;1143568;1178985;1192192;1007007;1259218;1152033;1432628;1210644;1438856;1513301;1609920;1480962;1539854;1621314
701;709739;669391;619681;723099;754091;804817;795439;713371;837829;867346;934033;850025;921766;943993;1178365;1156841;1179186;1268120;1223524;1364005;1494503;1354793;1401750;1385474;1492401;1545544;1813663;1824616;1793122;1762028;1807449
801;611154;615206;700426;655681;750436;799662;845900;775300;881043;892134;955321;996173;1044219;1127394;1250305;1283017;1335545;1425768;1515555;1464558;1553996;1572614;1637473;1721971;1891913;1774897;1901862;1878510;1954725;1992099;2089034
901;660253;744942;732724;715577;861695;857706;900214;871414;968963;1063866;1128479;1288853;1220306;1342318;1372380;1572348;1709914;1711407;1678656;1892260;1891995;1876787;1903847;1974318;1989129;2074122;2064141;2179676;2178899;2249839;2323205
1001;797726;813342;829730;884110;941467;983057;1044525;1026035;1134311;1172476;1231459;1422802;1411689;1445261;1511613;1677832;1806542;1808590;1891212;1913314;2021605;2015016;2176291;2127772;2284466;2330827;2352950;2565661;2692798;2879161;2870364
