;1;101;201;301;401;501;601;701;801;901;1001;1101;1201;1301;1401;1501;1601;1701;1801;1901;2001;2101;2201;2301;2401;2501;2601;2701;2801;2901;3001
1;5131;205;210;208;212;211;209;212;211;209;212;214;208;209;209;206;210;206;213;206;210;206;207;214;210;213;224;209;208;206;208
101;211;211;213;212;352;214;208;221;209;215;214;211;211;215;286;289;233;285;232;233;226;222;232;226;238;291;220;289;244;282;224
201;234;237;250;233;229;237;223;285;287;213;222;251;236;226;243;293;220;231;226;243;237;288;226;232;241;232;258;226;231;240;240
301;210;400;224;226;225;216;217;217;215;216;210;217;217;217;233;243;246;249;223;297;227;238;251;234;242;228;216;212;223;217;213
401;216;216;223;227;220;217;216;214;213;222;219;217;221;216;220;222;231;223;225;214;220;216;213;224;233;227;224;218;222;243;226
501;215;217;216;220;221;211;212;216;423;291;268;334;293;258;263;259;259;263;262;444;482;236;221;268;256;239;250;221;230;230;233
601;210;219;227;229;216;223;224;220;241;247;238;229;369;258;227;222;225;228;226;225;235;235;230;241;431;379;250;230;234;296;283
701;232;247;257;234;222;227;223;222;691;898;462;262;252;252;279;297;247;226;217;233;231;253;272;398;263;278;260;259;331;319;302
801;298;258;332;521;243;268;313;291;237;221;222;243;263;226;223;226;233;245;247;250;243;268;260;256;256;688;284;266;270;276;716
901;591;551;531;506;229;230;231;365;228;256;232;230;222;232;1068;251;245;675;297;269;520;296;298;298;274;307;325;569;468;578;328
1001;220;221;243;240;248;258;234;251;228;229;239;226;465;264;239;241;247;271;265;260;275;408;266;274;286;401;296;314;314;286;324
1101;232;225;225;227;230;230;225;223;227;249;235;243;271;257;288;266;310;290;286;284;348;455;330;371;294;299;455;335;306;293;623
1201;252;226;227;223;231;236;242;242;229;243;227;234;244;279;252;245;265;282;283;303;301;287;347;277;296;318;337;319;593;334;342
1301;648;395;277;297;323;282;459;316;282;240;275;284;340;267;263;347;306;278;432;305;293;331;310;317;345;302;311;316;319;315;303
1401;221;235;226;229;231;228;230;232;239;245;241;286;269;293;270;283;274;258;296;303;281;384;347;398;326;314;313;308;319;332;310
1501;212;264;225;219;233;229;230;234;237;262;293;256;263;409;616;346;347;373;338;372;301;314;341;301;625;328;355;340;327;334;350
1601;222;236;230;233;229;226;226;231;254;262;259;255;255;486;290;288;298;291;295;299;660;329;313;321;358;323;340;381;383;332;322
1701;223;238;236;232;229;232;228;240;228;240;246;270;285;268;296;288;276;313;300;304;294;308;329;320;329;368;328;375;646;321;324
1801;218;247;228;499;240;249;236;235;817;276;260;284;288;267;587;301;309;304;299;313;328;463;335;326;323;326;528;341;327;343;310
1901;215;239;233;233;244;266;240;230;244;313;305;277;309;296;302;312;305;303;304;302;343;323;590;320;418;363;346;943;340;317;332
2001;233;240;239;244;242;245;239;273;251;260;295;306;293;328;293;307;315;332;316;530;515;479;358;359;337;344;331;339;335;336;343
2101;218;250;384;238;234;248;239;290;307;288;302;310;284;302;300;370;415;575;335;349;620;475;331;353;668;326;337;328;348;352;334
2201;221;254;386;245;236;238;233;345;472;569;447;342;311;442;364;848;336;344;320;326;345;337;337;326;354;349;346;342;1169;365;431
2301;247;261;264;235;242;242;293;277;276;910;294;294;347;294;318;331;334;340;338;342;327;340;356;333;482;375;347;361;548;373;352
2401;223;245;250;259;511;273;269;259;301;308;701;307;318;325;316;339;354;365;393;397;369;375;352;345;344;330;344;396;347;351;344
2501;231;245;234;241;238;260;262;366;374;377;408;790;335;345;319;347;333;333;352;337;340;350;339;337;351;347;356;405;355;354;351
2601;216;255;256;259;244;242;312;308;268;337;322;359;321;328;324;340;347;339;358;546;576;787;351;417;336;364;1027;355;348;350;360
2701;221;391;256;266;398;365;379;315;305;676;352;839;664;359;363;392;344;359;420;678;540;361;571;363;404;1150;364;366;359;343;354
2801;218;252;267;247;245;276;273;268;287;317;321;305;319;329;351;338;344;388;338;340;349;361;372;348;354;349;345;360;361;353;554
2901;360;292;710;469;306;284;602;659;335;346;333;415;355;332;339;344;332;350;430;367;373;351;375;412;360;366;510;704;361;371;373
3001;234;233;251;242;240;308;303;304;303;355;320;350;341;338;348;344;357;934;358;354;559;435;378;535;551;368;382;356;374;958;365
