Size;Time[ns];Method;;;;
0;686000;getIndexOf;;;Row Labels;Average of Time[ns]
0;3700;getIndexOf;;;0;2141,880342
0;1058700;insert;;;1;1080,854127
1;496500;at;;;2;991,4385965
1;4500;at;;;3;1644,663494
1;139100;insert;;;4;967,8936605
2;500;at;;;5;1037,462462
2;500;at;;;6;996,0753532
2;400;at;;;7;1031,305758
2;84600;getIndexOf;;;8;1042,87812
2;2500;at;;;9;1040,052356
2;500;at;;;10;1019,45259
2;6300;insert;;;11;1000,491159
3;1048700;removeAt;;;12;998,1065089
2;1400;at;;;13;960,9048724
2;8300;removeAt;;;14;976,7138194
1;1900;removeAt;;;15;990,6358382
0;800;getIndexOf;;;16;965,6462585
0;800;getIndexOf;;;17;977,124183
0;800;getIndexOf;;;18;937,3652695
0;700;getIndexOf;;;19;936,547619
0;4400;insert;;;20;1003,351206
1;900;at;;;21;1017,654987
1;800;at;;;22;995,875
1;900;at;;;23;1039,077341
1;800;at;;;24;1053,497409
1;900;at;;;25;994,9519231
1;2000;removeAt;;;26;1021,491228
0;700;getIndexOf;;;27;1031,345178
0;2200;insert;;;28;1067,709815
1;800;at;;;29;1090,68564
1;900;getIndexOf;;;30;1148,013621
1;800;at;;;31;1049,073064
1;1600;removeAt;;;32;1044,850498
0;700;getIndexOf;;;33;1021,276596
0;700;getIndexOf;;;34;1058,229167
0;700;getIndexOf;;;35;1096,412556
0;800;getIndexOf;;;36;1081,755986
0;700;getIndexOf;;;37;1041,542289
0;700;getIndexOf;;;38;1042,920354
0;700;getIndexOf;;;39;1018,944099
0;700;getIndexOf;;;40;1055,722892
0;600;getIndexOf;;;41;1067,647059
0;700;getIndexOf;;;42;1088,733906
0;700;getIndexOf;;;43;1012,346843
0;900;getIndexOf;;;44;1067,040149
0;500;getIndexOf;;;45;1094,664213
0;900;getIndexOf;;;46;1125,583567
0;400;getIndexOf;;;47;1099,914163
0;300;getIndexOf;;;48;1146,654611
0;1700;insert;;;49;1080,48048
1;600;at;;;50;1048,949772
1;500;at;;;51;1023,913043
1;1500;removeAt;;;52;1076,761905
0;300;getIndexOf;;;53;1075,652174
0;300;getIndexOf;;;54;1141,399417
0;400;getIndexOf;;;55;1110,819672
0;300;getIndexOf;;;56;1071,310724
0;300;getIndexOf;;;57;1078,313253
0;400;getIndexOf;;;58;1134,044715
0;600;getIndexOf;;;59;1129,270833
0;800;getIndexOf;;;60;1151,282051
0;700;getIndexOf;;;61;1152,808989
0;600;getIndexOf;;;62;1086,962751
0;600;getIndexOf;;;63;1134,664765
0;700;getIndexOf;;;64;1198,941799
0;1900;insert;;;65;1262,844037
1;900;at;;;66;1288,15331
1;800;at;;;67;1211,614173
1;1600;insert;;;68;1263,653137
2;800;at;;;69;1204,51505
2;700;at;;;70;1210,655738
2;700;at;;;71;1228,933092
2;2300;removeAt;;;72;1278,828829
1;1600;insert;;;73;1296,212121
2;800;at;;;74;1276,214834
2;800;at;;;75;1294,918699
2;800;getIndexOf;;;76;1340,295359
2;800;at;;;77;1265,29517
2;800;at;;;78;1359,618442
2;700;at;;;79;1380,620155
2;800;at;;;80;1362,174579
2;700;at;;;81;1332,961783
2;700;at;;;82;1352,669553
2;1800;insert;;;83;1341,097923
3;500;at;;;84;1364,477212
3;1100;insert;;;85;1289,903181
4;400;at;;;86;1322,335766
4;1100;removeAt;;;87;1325,076453
3;6100;at;;;88;1354,185693
3;300;at;;;89;1373,158756
3;900;insert;;;90;1360,469012
4;500;at;;;91;1414,882033
4;500;at;;;92;1445,019157
4;400;at;;;93;1445,981308
4;400;at;;;94;1514,132379
4;1200;removeAt;;;95;1431,701632
3;400;at;;;96;1441,037736
3;400;at;;;97;1397,204301
3;500;getIndexOf;;;98;1390,17094
3;900;insert;;;99;1407,296137
4;400;at;;;100;1388,997555
4;400;at;;;101;1515,632754
4;700;insert;;;102;1421,171171
5;400;at;;;103;1397,902098
5;300;at;;;104;1436,052632
5;400;at;;;105;1491,950464
5;3900;removeAt;;;106;1511,55914
4;500;at;;;107;1398,468271
4;500;at;;;108;1420,958084
4;500;at;;;109;1398,943662
4;4500;removeAt;;;110;1431,454545
3;2200;removeAt;;;111;1440,34749
2;1700;removeAt;;;112;1456,435644
1;800;at;;;113;1532,989691
1;700;at;;;114;1567,661692
1;1700;insert;;;115;1529,425287
2;800;at;;;116;1492,61477
2;500;getIndexOf;;;117;1457,563025
2;600;at;;;118;1593,446602
2;1200;insert;;;119;1529,61039
3;1400;at;;;120;1485,498489
3;700;at;;;121;1574,021352
3;700;at;;;122;1610,9375
3;600;at;;;123;1765,07177
3;800;at;;;124;1451,886792
3;700;at;;;125;1222,277228
3;900;insert;;;126;1297,575758
4;1000;insert;;;127;1297,321429
5;700;at;;;128;1222,807018
5;1500;insert;;;129;1244,642857
6;1800;removeAt;;;130;1348
5;1200;insert;;;131;1375,280899
6;700;at;;;132;1386,206897
6;800;at;;;133;1363,043478
6;1800;removeAt;;;134;1342,857143
5;1300;insert;;;135;1445,454545
6;1600;removeAt;;;136;1315,384615
5;1200;insert;;;137;1181,818182
6;800;at;;;138;1363,636364
6;700;at;;;139;1200
6;700;at;;;140;1000
6;700;at;;;141;940,9090909
6;600;at;;;142;1054,545455
6;700;at;;;143;1250
6;1800;removeAt;;;144;1977,777778
5;1700;removeAt;;;145;1166,666667
