Size;Time[ns];Method
0;1100;getIndexOf
0;700;getIndexOf
0;1600;insert
1;1700;removeAt
0;400;getIndexOf
0;1100;insert
1;600;at
1;500;at
1;500;at
1;500;at
1;900;insert
2;500;at
2;1100;removeAt
1;1000;removeAt
0;400;getIndexOf
0;400;getIndexOf
0;300;getIndexOf
0;400;getIndexOf
0;1200;insert
1;900;insert
2;600;getIndexOf
2;1100;removeAt
1;1000;removeAt
0;1100;insert
1;1200;insert
2;1000;insert
3;1000;removeAt
2;500;at
2;900;insert
3;800;insert
4;1000;removeAt
3;800;insert
4;400;at
4;500;getIndexOf
4;800;insert
5;900;insert
6;800;insert
7;800;insert
8;800;insert
9;1000;removeAt
8;900;insert
9;500;at
9;500;at
9;1100;insert
10;1200;removeAt
9;600;at
9;1100;removeAt
8;1200;insert
9;2000;removeAt
8;1000;getIndexOf
8;1200;removeAt
7;800;at
7;1200;removeAt
6;500;at
6;1100;removeAt
5;1100;insert
6;900;insert
7;900;removeAt
6;700;insert
7;800;insert
8;700;insert
9;1100;removeAt
8;800;insert
9;700;insert
10;1100;removeAt
9;500;at
9;800;insert
10;1000;removeAt
9;500;at
9;400;at
9;600;getIndexOf
9;800;insert
10;500;getIndexOf
10;1000;removeAt
9;1000;insert
10;400;at
10;800;insert
11;1000;removeAt
10;900;removeAt
9;900;insert
10;500;getIndexOf
10;900;removeAt
9;800;insert
10;700;insert
11;900;insert
12;500;at
12;500;getIndexOf
12;1000;removeAt
11;900;removeAt
10;900;removeAt
9;900;removeAt
8;900;insert
9;900;removeAt
8;500;at
8;400;at
8;500;getIndexOf
8;400;getIndexOf
8;1000;removeAt
7;500;at
7;400;at
7;500;getIndexOf
7;900;removeAt
6;800;insert
7;500;getIndexOf
7;900;removeAt
6;800;insert
7;900;removeAt
6;1000;removeAt
5;800;insert
6;400;at
6;900;removeAt
5;500;at
5;400;at
5;900;insert
6;800;insert
7;500;at
7;900;removeAt
6;800;insert
7;800;removeAt
6;400;at
6;900;removeAt
5;500;getIndexOf
5;800;insert
6;900;removeAt
5;900;removeAt
4;800;insert
5;900;removeAt
4;1000;removeAt
3;500;at
3;900;removeAt
2;400;at
2;700;insert
3;400;at
3;900;removeAt
2;700;insert
3;700;insert
4;900;removeAt
3;500;at
3;500;getIndexOf
3;900;insert
4;500;at
4;400;at
4;1100;removeAt
3;900;removeAt
2;1000;insert
3;500;at
3;900;removeAt
2;400;at
2;400;at
2;700;insert
3;900;removeAt
2;400;getIndexOf
2;400;at
2;900;removeAt
1;900;insert
2;400;at
2;700;insert
3;900;removeAt
2;800;insert
3;700;insert
4;700;insert
5;700;insert
6;700;insert
7;1000;removeAt
6;700;insert
7;800;insert
8;900;removeAt
7;900;removeAt
6;800;insert
7;1000;removeAt
6;500;at
6;700;insert
7;500;getIndexOf
7;700;insert
8;1000;removeAt
7;800;removeAt
6;400;getIndexOf
6;800;insert
7;900;removeAt
6;900;removeAt
5;900;removeAt
4;1000;insert
5;500;getIndexOf
5;400;at
5;400;getIndexOf
5;800;insert
6;900;removeAt
5;800;insert
6;1000;removeAt
5;800;insert
6;400;getIndexOf
6;1000;removeAt
5;400;at
5;800;insert
6;500;at
6;800;insert
7;900;insert
8;900;insert
9;500;getIndexOf
9;800;insert
10;800;insert
11;800;insert
12;1000;insert
13;1000;removeAt
12;1000;removeAt
11;900;removeAt
10;600;getIndexOf
10;1000;removeAt
9;900;removeAt
8;500;at
8;900;removeAt
7;1000;removeAt
6;800;insert
7;1000;removeAt
6;500;at
6;900;removeAt
5;800;insert
6;1000;removeAt
5;500;at
5;900;removeAt
4;500;at
4;1000;insert
5;400;at
5;400;at
5;500;getIndexOf
5;400;getIndexOf
5;900;removeAt
4;900;removeAt
3;400;at
3;400;at
3;400;at
3;900;removeAt
2;1000;removeAt
1;900;removeAt
0;400;getIndexOf
0;300;getIndexOf
0;400;getIndexOf
0;300;getIndexOf
0;400;getIndexOf
0;300;getIndexOf
0;1000;insert
1;900;insert
2;500;at
2;900;removeAt
1;900;removeAt
0;400;getIndexOf
0;1000;insert
1;900;removeAt
0;400;getIndexOf
0;300;getIndexOf
0;300;getIndexOf
0;400;getIndexOf
0;1000;insert
1;900;insert
2;500;getIndexOf
2;800;insert
3;900;removeAt
2;400;getIndexOf
2;900;insert
3;800;insert
4;500;at
4;300;at
4;400;at
4;400;at
4;400;getIndexOf
4;800;insert
5;700;insert
6;400;getIndexOf
6;800;insert
7;500;at
7;800;insert
8;900;removeAt
7;900;removeAt
6;700;insert
7;900;removeAt
6;900;insert
7;700;insert
8;1100;removeAt
7;900;removeAt
6;900;removeAt
5;900;insert
6;500;at
6;900;removeAt
5;500;getIndexOf
5;900;removeAt
4;1000;insert
5;400;at
5;900;removeAt
4;900;insert
5;700;insert
6;500;at
6;900;insert
7;800;removeAt
6;500;at
6;400;at
6;1000;removeAt
5;400;at
5;300;at
5;400;at
5;900;removeAt
4;900;insert
5;800;insert
6;900;removeAt
5;800;insert
6;700;insert
7;800;insert
8;1000;removeAt
7;800;insert
8;1000;removeAt
7;900;insert
8;900;removeAt
7;800;insert
8;1200;insert
9;1000;removeAt
8;500;getIndexOf
8;800;insert
9;900;removeAt
8;800;insert
9;500;getIndexOf
9;800;insert
10;800;insert
11;1000;removeAt
10;500;at
10;800;insert
11;1000;removeAt
10;800;insert
11;800;insert
12;900;removeAt
11;800;insert
12;700;insert
13;900;removeAt
12;400;at
12;500;at
12;600;getIndexOf
12;1000;removeAt
11;900;removeAt
10;900;insert
11;500;getIndexOf
11;900;removeAt
10;800;insert
11;500;at
11;800;insert
12;900;removeAt
11;1000;removeAt
10;800;insert
11;800;insert
12;900;insert
13;600;getIndexOf
13;900;removeAt
12;900;removeAt
11;1100;removeAt
10;800;insert
11;700;insert
12;500;at
12;900;removeAt
11;900;removeAt
10;700;insert
11;900;removeAt
10;1000;removeAt
9;500;at
9;900;removeAt
8;900;removeAt
7;800;insert
8;700;insert
9;900;removeAt
8;1000;removeAt
7;500;at
7;500;getIndexOf
7;800;insert
8;800;insert
9;800;insert
10;1000;removeAt
9;400;at
9;400;at
9;1000;removeAt
8;900;insert
9;500;at
9;900;removeAt
8;400;at
8;900;insert
9;800;insert
10;900;removeAt
9;900;removeAt
8;800;removeAt
7;800;insert
8;900;removeAt
7;900;removeAt
6;1000;removeAt
5;900;removeAt
4;900;removeAt
3;900;removeAt
2;800;insert
3;400;getIndexOf
3;900;removeAt
2;500;at
2;400;at
2;400;at
2;400;at
2;400;getIndexOf
2;700;insert
3;900;insert
4;800;insert
5;500;at
5;400;at
5;400;at
5;900;removeAt
4;900;removeAt
3;900;insert
4;600;at
4;900;removeAt
3;500;at
3;700;insert
4;1200;insert
5;1700;removeAt
4;1700;removeAt
3;800;at
3;1700;removeAt
2;3300;removeAt
1;1300;insert
2;1500;removeAt
1;1800;insert
2;1400;insert
3;2000;removeAt
2;1400;insert
3;1200;removeAt
2;1000;removeAt
1;900;removeAt
0;1100;insert
1;500;at
1;400;at
1;500;getIndexOf
1;400;at
1;800;insert
2;1000;removeAt
1;400;at
1;1000;insert
2;400;getIndexOf
2;400;at
2;900;insert
3;400;at
3;900;insert
4;1000;removeAt
3;900;removeAt
2;400;getIndexOf
2;800;insert
3;700;insert
4;900;removeAt
3;400;getIndexOf
3;900;insert
4;400;at
4;400;at
4;800;insert
5;1000;removeAt
4;500;at
4;800;removeAt
3;900;removeAt
2;900;removeAt
1;900;at
1;1600;removeAt
0;1700;insert
1;1500;removeAt
0;1600;insert
1;700;at
1;1600;insert
2;1200;insert
3;1700;insert
4;1100;insert
5;1600;removeAt
4;1600;removeAt
3;1400;insert
4;1400;insert
5;800;getIndexOf
5;1600;removeAt
4;800;at
4;1400;insert
5;2100;insert
6;800;getIndexOf
6;1700;removeAt
5;1300;insert
6;800;getIndexOf
6;800;at
6;2500;insert
7;1400;insert
8;1400;insert
9;900;getIndexOf
9;3000;removeAt
8;1600;insert
9;800;at
9;1400;at
9;1600;removeAt
8;1100;insert
9;1700;removeAt
8;600;at
8;1600;removeAt
7;1600;insert
8;600;at
8;800;getIndexOf
8;1700;removeAt
7;1500;removeAt
6;700;at
6;1500;removeAt
5;1500;insert
6;1200;insert
7;800;at
7;1700;removeAt
6;1300;removeAt
5;2600;removeAt
4;1400;removeAt
3;800;getIndexOf
3;1600;insert
4;1300;insert
5;1300;insert
6;700;getIndexOf
6;700;at
6;1300;insert
7;1400;insert
