Size;Time[ns];Method
1;244100;at
2;900;at
3;500;at
4;400;at
5;400;at
6;400;at
7;400;at
8;400;at
9;400;at
10;400;at
11;400;at
12;400;at
13;400;at
14;400;at
15;400;at
16;400;at
17;400;at
18;300;at
19;400;at
20;400;at
21;400;at
22;400;at
23;400;at
24;400;at
25;400;at
26;400;at
27;400;at
28;400;at
29;400;at
30;400;at
31;400;at
32;400;at
33;400;at
34;400;at
35;400;at
36;400;at
37;400;at
38;400;at
39;400;at
40;400;at
41;400;at
42;400;at
43;300;at
44;400;at
45;400;at
46;400;at
47;400;at
48;400;at
49;400;at
50;400;at
51;400;at
52;400;at
53;400;at
54;400;at
55;400;at
56;400;at
57;400;at
58;400;at
59;400;at
60;300;at
61;400;at
62;400;at
63;400;at
64;400;at
65;500;at
66;300;at
67;400;at
68;400;at
69;300;at
70;400;at
71;400;at
72;400;at
73;300;at
74;400;at
75;400;at
76;400;at
77;400;at
78;400;at
79;400;at
80;400;at
81;400;at
82;300;at
83;300;at
84;400;at
85;400;at
86;400;at
87;400;at
88;300;at
89;300;at
90;400;at
91;400;at
92;400;at
93;500;at
94;400;at
95;400;at
96;400;at
97;400;at
98;300;at
99;400;at
100;400;at
101;400;at
102;300;at
103;300;at
104;400;at
105;400;at
106;400;at
107;300;at
108;400;at
109;300;at
110;300;at
111;400;at
112;400;at
113;400;at
114;400;at
115;300;at
116;400;at
117;300;at
118;400;at
119;400;at
120;300;at
121;400;at
122;400;at
123;400;at
124;300;at
125;300;at
126;400;at
127;400;at
128;400;at
129;400;at
130;400;at
131;300;at
132;400;at
133;300;at
134;300;at
135;400;at
136;300;at
137;400;at
138;400;at
139;400;at
140;400;at
141;400;at
142;400;at
143;300;at
144;400;at
145;300;at
146;400;at
147;300;at
148;400;at
149;400;at
150;300;at
151;400;at
152;300;at
153;300;at
154;400;at
155;300;at
156;300;at
157;400;at
158;400;at
159;300;at
160;400;at
161;300;at
162;400;at
163;400;at
164;400;at
165;400;at
166;300;at
167;400;at
168;400;at
169;400;at
170;400;at
171;300;at
172;300;at
173;300;at
174;400;at
175;400;at
176;300;at
177;400;at
