Size;Time[ns];Method
1;359200;at
2;2200;at
3;500;at
4;400;at
5;400;at
6;400;at
7;300;at
8;400;at
9;500;at
10;400;at
11;400;at
12;500;at
13;300;at
14;400;at
15;500;at
16;400;at
17;400;at
18;500;at
19;500;at
20;400;at
21;400;at
22;500;at
23;400;at
24;500;at
25;400;at
26;400;at
27;500;at
28;400;at
29;400;at
30;400;at
31;500;at
32;500;at
33;500;at
34;400;at
35;600;at
36;500;at
37;400;at
38;400;at
39;400;at
40;500;at
41;500;at
42;500;at
43;500;at
44;500;at
45;400;at
46;400;at
47;400;at
48;500;at
49;500;at
50;400;at
51;500;at
52;500;at
53;500;at
54;500;at
55;400;at
56;500;at
57;500;at
58;600;at
59;600;at
60;700;at
61;600;at
62;600;at
63;400;at
64;18700;at
65;700;at
66;700;at
67;700;at
68;700;at
69;600;at
70;400;at
71;600;at
72;700;at
73;400;at
74;500;at
75;500;at
76;400;at
77;900;at
78;500;at
79;600;at
80;500;at
81;400;at
82;700;at
83;700;at
84;600;at
85;500;at
86;600;at
87;700;at
88;600;at
89;600;at
90;600;at
91;700;at
92;700;at
93;500;at
94;400;at
95;800;at
96;400;at
97;700;at
98;800;at
99;600;at
100;500;at
101;13600;at
102;700;at
103;600;at
104;500;at
105;400;at
106;700;at
107;800;at
108;600;at
109;800;at
110;500;at
111;600;at
112;600;at
113;800;at
114;400;at
115;600;at
116;400;at
117;600;at
118;400;at
119;500;at
120;600;at
121;600;at
122;400;at
123;400;at
124;900;at
125;400;at
126;700;at
127;500;at
128;600;at
129;400;at
130;400;at
131;400;at
132;800;at
133;400;at
134;600;at
135;400;at
136;500;at
137;600;at
138;800;at
139;900;at
140;400;at
141;300;at
142;700;at
143;500;at
144;700;at
145;500;at
146;800;at
147;600;at
148;900;at
149;1000;at
150;500;at
151;500;at
152;300;at
153;400;at
154;700;at
155;800;at
156;400;at
157;900;at
158;800;at
159;600;at
160;800;at
161;700;at
162;800;at
163;700;at
164;900;at
165;700;at
166;800;at
167;900;at
168;1000;at
169;600;at
170;400;at
171;900;at
172;400;at
173;400;at
174;1100;at
175;600;at
176;600;at
177;600;at
178;400;at
179;900;at
180;800;at
181;500;at
182;900;at
183;1000;at
184;500;at
185;800;at
186;600;at
187;1100;at
