Size;Time[ns];Method
0;1593800;insert
1;196000;insert
2;4000;insert
3;3100;insert
4;1800;insert
5;425600;insert
6;1900;insert
7;1800;insert
8;1700;insert
9;1400;insert
10;102200;insert
11;1400;insert
12;1400;insert
13;1900;insert
14;1500;insert
15;1300;insert
16;1500;insert
17;1500;insert
18;1500;insert
19;1400;insert
20;2000;insert
21;1500;insert
22;1400;insert
23;1500;insert
24;1400;insert
25;2000;insert
26;1400;insert
27;1700;insert
28;1600;insert
29;1500;insert
30;1900;insert
31;1400;insert
32;6300;insert
33;1500;insert
34;1700;insert
35;1700;insert
36;1500;insert
37;1400;insert
38;1600;insert
39;1500;insert
40;1600;insert
41;1600;insert
42;1700;insert
43;1400;insert
44;1200;insert
45;1000;insert
46;1000;insert
47;800;insert
48;900;insert
49;1100;insert
50;900;insert
51;1000;insert
52;800;insert
53;800;insert
54;1000;insert
55;900;insert
56;700;insert
57;800;insert
58;900;insert
59;700;insert
60;1000;insert
61;1000;insert
62;900;insert
63;1000;insert
64;1000;insert
65;1100;insert
66;800;insert
67;900;insert
68;800;insert
69;700;insert
70;900;insert
71;1000;insert
72;1000;insert
73;1200;insert
74;800;insert
75;700;insert
76;1100;insert
77;1200;insert
78;700;insert
79;1000;insert
80;900;insert
81;800;insert
82;1100;insert
83;900;insert
84;1000;insert
85;700;insert
86;700;insert
87;1000;insert
88;1100;insert
89;1100;insert
90;1100;insert
91;700;insert
92;1200;insert
93;1000;insert
94;1200;insert
95;1100;insert
96;1200;insert
97;2800;insert
98;1100;insert
99;900;insert
100;900;insert
101;1000;insert
102;1100;insert
103;1200;insert
104;1000;insert
105;1200;insert
106;800;insert
107;1100;insert
108;800;insert
109;1200;insert
110;800;insert
111;1200;insert
112;1100;insert
113;1100;insert
114;900;insert
115;900;insert
116;8100;insert
117;3300;insert
118;700;insert
119;900;insert
120;900;insert
121;1400;insert
122;1300;insert
123;1000;insert
124;1000;insert
125;1300;insert
126;700;insert
127;1200;insert
128;1200;insert
129;1300;insert
130;1300;insert
131;1200;insert
132;1300;insert
133;700;insert
134;1100;insert
135;800;insert
136;1000;insert
137;900;insert
138;1400;insert
139;700;insert
140;1100;insert
141;1000;insert
142;1000;insert
143;1500;insert
144;1300;insert
145;700;insert
146;700;insert
147;1500;insert
148;700;insert
149;1000;insert
150;1400;insert
151;1200;insert
152;1200;insert
153;800;insert
154;1400;insert
155;1200;insert
156;1200;insert
157;1200;insert
158;800;insert
159;900;insert
160;1000;insert
161;1500;insert
162;1100;insert
163;1100;insert
164;1400;insert
165;700;insert
166;700;insert
167;1100;insert
168;1700;insert
169;1400;insert
170;1500;insert
171;700;insert
172;1100;insert
173;1300;insert
174;700;insert
175;900;insert
176;900;insert
177;1400;insert
178;1600;insert
179;1700;insert
180;1300;insert
181;900;insert
182;800;insert
183;800;insert
184;1000;insert
185;800;insert
186;900;insert
187;1600;insert
188;1000;insert
189;1200;insert
190;900;insert
191;700;insert
192;1100;insert
193;1700;insert
194;800;insert
195;700;insert
196;1600;insert
197;1600;insert
198;1500;insert
199;1300;insert
200;16500;insert
201;800;insert
202;1900;insert
203;1500;insert
204;1600;insert
205;1600;insert
206;1700;insert
207;800;insert
208;1400;insert
209;1400;insert
210;1000;insert
211;2000;insert
212;1500;insert
213;900;insert
214;1500;insert
215;1400;insert
216;700;insert
217;900;insert
218;1400;insert
219;1500;insert
220;900;insert
221;1100;insert
222;1900;insert
223;900;insert
224;900;insert
225;900;insert
226;1800;insert
227;1200;insert
228;1300;insert
229;700;insert
230;900;insert
231;1500;insert
232;1400;insert
233;1600;insert
234;700;insert
235;1700;insert
236;1600;insert
237;1600;insert
238;1400;insert
239;1500;insert
240;1200;insert
241;1600;insert
242;1400;insert
243;1500;insert
244;1700;insert
245;1600;insert
246;1000;insert
247;1100;insert
248;1600;insert
249;1500;insert
250;1300;insert
251;900;insert
252;2400;insert
253;1300;insert
254;700;insert
255;1600;insert
256;1900;insert
257;1600;insert
258;1500;insert
259;900;insert
260;1300;insert
261;1300;insert
262;1600;insert
263;1300;insert
264;1700;insert
265;800;insert
266;2000;insert
267;1700;insert
268;1000;insert
269;800;insert
270;2000;insert
271;1000;insert
272;2100;insert
273;1300;insert
274;1800;insert
275;1100;insert
276;800;insert
277;1800;insert
278;1200;insert
279;900;insert
280;1900;insert
281;1500;insert
282;1700;insert
283;1500;insert
284;18200;insert
285;1800;insert
286;2100;insert
287;1700;insert
288;1600;insert
289;700;insert
290;1700;insert
291;2100;insert
292;1900;insert
293;1300;insert
294;1000;insert
295;1200;insert
296;1100;insert
297;1600;insert
298;3500;insert
299;2200;insert
300;1600;insert
301;900;insert
302;700;insert
303;800;insert
304;1000;insert
305;1400;insert
306;1600;insert
307;800;insert
308;900;insert
309;1400;insert
310;2300;insert
311;1200;insert
312;800;insert
313;1700;insert
314;1500;insert
315;2400;insert
316;1000;insert
317;800;insert
318;1700;insert
319;2600;insert
320;2800;insert
321;1700;insert
322;2200;insert
323;2100;insert
324;2000;insert
325;700;insert
326;1600;insert
327;900;insert
328;2000;insert
329;1500;insert
330;1500;insert
331;900;insert
332;800;insert
333;1100;insert
334;900;insert
